table_name,keep_delete_update,alter_sql_or_notes,message_to_database_administrator
chaos_beta.DAILY_INCOME_DATA,UPDATE,-- Materialized or summary tables: document rebuild job; consider refreshing via cron not manual SQL.,Summary/top tables: keep if app reads them; otherwise candidate to replace with views or nightly job output.
chaos_beta.STOCK_HISTORY,KEEP,ALTER TABLE `chaos_beta`.`STOCK_HISTORY` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.SUPPLIER_ACTIVITY_LOG,KEEP,ALTER TABLE `chaos_beta`.`SUPPLIER_ACTIVITY_LOG` ADD INDEX idx_created (created_at); -- adjust column name if different; consider monthly partitions for large logs.,Retention policy: archive or purge after N days. Indexes on time columns for reporting. Ensure PII is minimized in logs.
chaos_beta.SUPPLIER_EXPENSES,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.SUPPLIER_PRODUCTS_EXTENDED,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.SUPPLIER_STATS,UPDATE,-- Materialized or summary tables: document rebuild job; consider refreshing via cron not manual SQL.,Summary/top tables: keep if app reads them; otherwise candidate to replace with views or nightly job output.
chaos_beta.abandoned_cart_reminders,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.account_distances,KEEP,ALTER TABLE `chaos_beta`.`account_distances` ADD INDEX idx_account (account_id); -- verify PK/FK column names from dump.,Distance cache between accounts: keep for nearest-shop UX. Refresh strategy if coordinates change often.
chaos_beta.account_payment,KEEP,"ALTER TABLE `chaos_beta`.`account_payment` ADD INDEX idx_status_created (status, created_at); -- adjust to actual columns.","Financial data: strict backups, least-privilege DB users, no direct prod edits. Reconcile with MoMo/EBM exports."
chaos_beta.account_signup,KEEP,ALTER TABLE `chaos_beta`.`account_signup` ADD INDEX idx_email (EMAIL); ADD INDEX idx_tel (TEL);,Signup master data: critical PII. Encrypt backups; index email and phone used by auth.
chaos_beta.agreements,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
chaos_beta.alg0000317010_tebuka_request,KEEP,"-- Review indexes on foreign-style keys (seller, buyer, order_id) and timestamps; CONVERT TO utf8mb4 if still latin1.",Standard chaos_beta table: keep unless product confirms deprecation. Run pt-online-schema-change for large ALTERs in production.
