VINCENT,AIMABLE,AREA,FUNCTION,WHY IT MATTERS,SIMPLE RULE,User,Comment,Priority,IN IHUTE MAIN,GRANDMA,DATABASE,API,REDIS,Function existence (IHUTE codebase),Needed enhancement,Class names (Kaos / Next),API endpoint or servlet name,Redis keys or usage (Kaos IHUTE_BCND),Representative SQL or table,Readiness percent,Fixing priority
"*dukeneye niba umucuruzi yifuza kwandikisha shop ,ye abyikorere namarakwandisha shopye abone page irimo add item fom",board new shop,BOARDING,,,,Seller,,0,EXIST,REUSE,account_signup,,,Exists: supplier onboarding + registration; account_signup area.,Align all seller types; polish add-item onboarding.,Kaos.Structures.SignupServlet; supplier onboarding UI (Next),POST /SignupServlet; Next /api/auth/register,No dedicated signup key; supplier_* may appear after catalog sync,"INSERT INTO account_signup (FIRSTNAME, LASTNAME, EMAIL, ...)",78,Medium — unify flows and fix failing forms before new features
,create shopwithme link,ACCESS,Open shop link (no login),Anyone can browse instantly,No barrier,Seller,,0,EXIST,REUSE,account_signup,,,Exists: shop-with-me public browse; share links.,Stable per-shop URLs; analytics on shares.,Kaos.shopWithMe; app/shop-with-me (Next),GET /shop_with_me/*; Next /api/shop-with-me,supplier_<shopAccount> JSON cache; see Kaos/shopWithMe.java,Reads product JSON cached per supplier; DB via SupplierStock paths,85,Low — add stable share URLs and analytics
,add item,item,,,,Seller,only in both no 30K not for grandma,0,EXIST,NEW,chaos_beta.niki_items,,,Exists: supplier add product; NiKi chaos_beta.niki_items.,Grandma 30K rule if required; unify forms.,Kaos.SupplierStock; Next app/api/supplier/products,Supplier stock servlet actions; /api/supplier/products/add-product,"After writes: jedis.setex(supplier_<account>, TTL, json)",INSERT INTO seller stock tables (SupplierStock.TABLE_SELLER_STOCK),80,Medium — enforce Grandma 30K rule in API if required
,new item,item,,,,Seller,,0,EXIST,NEW,chaos_beta.niki_items,,,Exists: same add/new item flows.,,Kaos.SupplierStock; supplier product routes,Same as add item; list and mutate endpoints,supplier_<account>; supplier_size_<account>,Same stock / item tables as add item,80,Low
* Haraburamo product image,set image,item,Show products with IMAGE + PRICE,Avoid confusion,Always visible,Seller,*frontend and UI bakemure ikibazo cyamafoto ,2,EXIST,NEW,chaos_beta.niki_items,,,Exists: images in product payloads; shop-with-me UI.,Faster upload/preview; fix photo bugs noted in Comment.,Kaos.SupplierStock; components/shop-with-me.tsx,shop_with_me payload includes image URLs,supplier_* cache stores item images in JSON,Item image columns in NiKi / seller stock schema,72,High — fix upload and broken thumbnails first
,existing item,item,,,,Seller,,1,EXIST,NEW,niki_items,,,Exists: supplier catalog + edit paths; niki_items.,Clear edit vs add UX.,Kaos.SupplierStock; SupplierServlet,Product list and update endpoints,supplier_<account> invalidated on update,SELECT / UPDATE against seller item tables,75,Medium — single edit screen
,FMCG and NiKi Sync,item,,,,Seller,NiKi need to be updated and have the FMCG mark so only these sync with grandam,1,NEW,NEW,chaos_beta.niki_items,,,Gap: FMCG mark + selective Grandma sync (sheet NEW).,DB flag FMCG; sync job; filter NiKi by flag.,Not implemented as dedicated job; chaos_beta.niki_items,NiKi ingest (batch or servlet TBD),No FMCG-specific key; generic supplier_* only,ALTER chaos_beta.niki_items ADD FMCG flag; filter in sync SQL,35,High — design sync job and Grandma filter
,add stock and price,STOCK,Show “Available / Out of stock”,Avoid fake orders,Real stock only,Seller,,1,EXIST,LITE,seller_add_stock,,,Exists: seller_add_stock LITE; stock APIs; availability in UI.,Stock reservation at checkout; alerts.,Kaos.SupplierStock,POST supplier stock API; Java SupplierStock,"jedis.setex(""supplier_""+account, TTL, wrapper)",INSERT INTO seller stock table; see SupplierStock.java,82,Medium — add reservation at order time
,BY NOW,ORDER,“⚡ Buy Now” button,Fast action,No complexity,BUYER,,0,EXIST,NEW,,,,Exists: Buy Now in product-card + shop-with-me; checkout.,One-tap path tested on mobile WebView.,components/product-card.tsx; checkout flow,Next /api/post-orders or confirmPayment chain,None for button itself; order data may cache elsewhere,EETransaction / DbHandler.insertTransaction via post_orders,88,Low — WebView QA
,sell,ORDER,Add / remove items easily,Basic shopping,1 click only,BUYER,,0,EXIST,NEW,,,,Exists: cart add/remove; cart-store + APIs.,Multi-seller edge cases.,lib/cart-store.ts; Kaos.UpdateCartServlet (if used),Next /api/cart/sync; optional Java cart servlet,Cart sync may use user or session keys if configured in Kaos,Persistent cart tables or Java cart handler as deployed,85,Medium — multi-seller checkout rules
,refill,ORDER,,,,Seller,,0,NEW,NEW,,,,Partial: eRx Refill field for pharmacy; not generic reorder.,If generic refill: wire reorder API + UI; clarify scope.,Pharmacy eRx: lib/erx-prescription.ts; reorder: Kaos.re_order @WebServlet /api/reorder,POST /api/reorder; eRx fields in cart payload,Typically none specific to refill,Reorder inserts depend on reorder servlet and order tables,50,High — clarify product scope then wire UI
,report,ORDER,,,,Seller,,0,EXIST,NEW,,,,Exists: seller reports/analytics (verify exact module).,Export CSV/PDF; date range.,Kaos.SupplierServlet; payment DashboardServlet,Analytics endpoints; DownloadOrderExel optional,supplier:<account>:stats:<dateRange>,SELECT aggregates from orders / transactions,70,Medium — export CSV
,search by name,ORDER,Simple search (name only),Grandma finds fast,No filters needed,BUYER,,0,EXIST,NEW,,,,Exists: global-search; search page.,Typo/synonym handling.,Kaos.fetchSuggestions; app/api/global-search,GET global-search; Java fetchSuggestions search,supplier_*; inverted index keys inside fetchSuggestions; quick_code:*,SELECT from indexed products + Redis overlay,83,Low — synonyms
"*Ikindi dukeneye ni'ba umukiriya asuye ihute ahitemo category,shop ,pharmacy,restrant nibind",search by CATEGORY,ORDER,,,,BUYER,"nakora click kuri category ashaka niba arishop ,abone list ya shps",1,EXIST,NEW,,,,Exists: categories + category AI; grandma category UX.,DB-backed categories; list shops under category.,app/api/categories; Kaos.fetchSuggestions sector filters,GET /api/categories; fetchSuggestions with category/sector,type_<sector>_* style caches in fetchSuggestions,Static list in Next OR DB categories table when wired,65,High — replace static categories with DB
"location,owner and click to open shop hanyuma nibwo shop izafunguka ",search by location,ORDER,,,,BUYER,*Kuri glandma nakora click kurishop abe yahitamo imwegereye and open shop,1,EXIST,NEW,account_distances,,,Exists: nearest suppliers; account_distances; location.,Distance sort + map; grandma tap-to-open shop.,Kaos.SupplierLocationServlet; app/api/suppliers/nearest,suppliers/nearest; account_distances logic,Less common; distance computed often in SQL + geo,SELECT suppliers with lat/lon; haversine or stored distance,72,Medium — map and sort by km
